Date,Day,Time,Session,Room
2019-05-07,Tuesday,14:00 - 15:20,Neurological Disease Management,Carron 1
2019-05-07,Tuesday,14:00 - 15:20,Information Management,Dochart 1
2019-05-07,Tuesday,14:00 - 15:20,Speaker prep room,Etive
2019-05-07,Tuesday,14:00 - 15:20,A Good Day to CHI Hard,Carron 2
2019-05-07,Tuesday,14:00 - 15:20,Insights in Experimental Data through Intuitive and Interactive Statistics ,Argyll 2 CROWN
2019-05-07,Tuesday,14:00 - 15:20,Ethnographic Methods for Human Factors Researchers:  Collecting and Interweaving Threads of HCI ,Argyll 3 CROWN
2019-05-07,Tuesday,14:00 - 15:20,Balancing Interaction Design,Castle 3 CROWN
2019-05-07,Tuesday,14:00 - 15:20,Conceptual Models: Core to Good Design,Castle 1 CROWN
2019-05-07,Tuesday,14:00 - 15:20,"Design for Wellbeing - Tools for Research, Practice and Ethics ",Castle 2 CROWN
2019-05-07,Tuesday,14:00 - 15:20,Making,Forth
2019-05-07,Tuesday,14:00 - 15:20,Collaboration and Technology,Alsh 2
2019-05-07,Tuesday,14:00 - 15:20,Serious Games,Gala
2019-05-07,Tuesday,14:00 - 15:20,Social Media Systems,Alsh 1
2019-05-07,Tuesday,14:00 - 15:20,SIG: Spatiality of Augmented Reality User Interfaces,Island A CROWN
2019-05-07,Tuesday,14:00 - 15:20,Artificial Intelligence Challenges,Argyll 1 CROWN
2019-05-07,Tuesday,14:00 - 15:20,Design Futures,Boisdale 2
2019-05-07,Tuesday,15:20 - 16:00,Break and Interactivity,Hall 4
2019-05-07,Tuesday,15:20 - 16:00,Speaker prep room,Etive
2019-05-07,Tuesday,15:20 - 16:00,Interactivity,Hall 4
2019-05-07,Tuesday,15:20 - 16:00,Doctoral Consortium Poster,Hall 4
2019-05-07,Tuesday,15:20 - 16:00,Student Design Competition,Hall 4
2019-05-07,Tuesday,15:20 - 16:00,Student Research Competition,Hall 4
2019-05-07,Tuesday,15:20 - 16:00,Poster Rotation 1,Hall 4
2019-05-07,Tuesday,16:00 - 17:20,Visualization Systems and Repositories,Hall 2
2019-05-07,Tuesday,16:00 - 17:20,Security Perceptions,Hall 1
2019-05-07,Tuesday,16:00 - 17:20,Conversational UIs,Island A CROWN
2019-05-07,Tuesday,16:00 - 17:20,AI and Automation,Boisdale 2
2019-05-07,Tuesday,16:00 - 17:20,Mobile Technology Use,Carron 2
2019-05-07,Tuesday,16:00 - 17:20,Sport and Fitness,Carron 1
2019-05-07,Tuesday,16:00 - 17:20,Gesture Sensing,Boisdale 1
2019-05-07,Tuesday,16:00 - 17:20,Touch and Haptics,Lomod Auditorium
2019-05-07,Tuesday,16:00 - 17:20,Speaker prep room,Etive
2019-05-07,Tuesday,16:00 - 17:20,Insights in Experimental Data through Intuitive and Interactive Statistics ,Argyll 2 CROWN
2019-05-07,Tuesday,16:00 - 17:20,Ethnographic Methods for Human Factors Researchers:  Collecting and Interweaving Threads of HCI ,Argyll 3 CROWN
2019-05-07,Tuesday,16:00 - 17:20,Balancing Interaction Design,Castle 3 CROWN
2019-05-07,Tuesday,16:00 - 17:20,Conceptual Models: Core to Good Design,Castle 1 CROWN
2019-05-07,Tuesday,16:00 - 17:20,"Design for Wellbeing - Tools for Research, Practice and Ethics",Castle 2 CROWN
2019-05-07,Tuesday,16:00 - 17:20,Design Tools,Alsh 1
2019-05-07,Tuesday,16:00 - 17:20,Performance in 3D,Dochart 2
2019-05-07,Tuesday,16:00 - 17:20,Cars,Clyde Auditorium
2019-05-07,Tuesday,16:00 - 17:20,Learning Analytics,Alsh 2
2019-05-07,Tuesday,16:00 - 17:20,Social Play,Gala
2019-05-07,Tuesday,16:00 - 17:20,Health Screening and Assessment,Dochart 1
2019-05-07,Tuesday,16:00 - 17:20,Creativity,Forth
2019-05-07,Tuesday,16:00 - 17:20,"Rigor, Relevance and Impact: The Tensions and Trade-Offs Between Research in the Lab and in the Wild",Argyll 1 CROWN
2019-05-07,Tuesday,17:30 - 19:30,Job Fair,Hall 4
2019-05-07,Tuesday,17:30 - 19:30,CHI Stories,Lomod Auditorium
2019-05-07,Tuesday,17:40 - 20:00,UX Practitioners Event,Castle 1 CROWN
2019-05-08,Wednesday,08:00 - 09:00,Listening Post,Island B CROWN
2019-05-08,Wednesday,09:00 - 10:20,Making the Virtual Physical,Dochart 2
2019-05-08,Wednesday,09:00 - 10:20,AR/VR 3,Clyde Auditorium
2019-05-08,Wednesday,09:00 - 10:20,Humans' Work with Data,Boisdale 2
2019-05-08,Wednesday,09:00 - 10:20,Dimensions of Interaction,Boisdale 1
2019-05-08,Wednesday,09:00 - 10:20,Fabricating Electronics,Hall 1
2019-05-08,Wednesday,09:00 - 10:20,Design Methods for Personalized and Patient-Centered Care,Carron 1
2019-05-08,Wednesday,09:00 - 10:20,Sketching and Painting,Hall 2
2019-05-08,Wednesday,09:00 - 10:20,Interactive Accessories,Alsh 1
2019-05-08,Wednesday,09:00 - 10:20,Speaker prep room,Etive
2019-05-08,Wednesday,09:00 - 10:20,CHI Hard 2: CHI Harder,Carron 2
2019-05-08,Wednesday,09:00 - 10:20,Designing with the Mind in Mind: The Psychological Basis for UI Design Guidelines,Argyll 3 CROWN
2019-05-08,Wednesday,09:00 - 10:20,Avoiding and Mitigating Ethical Traps in Technocentric Fieldwork,Castle 1 CROWN
2019-05-08,Wednesday,09:00 - 10:20,Building Economic Models of Human Computer Interaction,Castle 2 CROWN
2019-05-08,Wednesday,09:00 - 10:20,Tangible Ecosystem Design - Developing Disruptive Services for Digital Ecosystems ,Castle 3 CROWN
2019-05-08,Wednesday,09:00 - 10:20,Computational Interaction with Bayesian Methods,Argyll 2 CROWN
2019-05-08,Wednesday,09:00 - 10:20,On the Edge of HCI,Lomod Auditorium
2019-05-08,Wednesday,09:00 - 10:20,"VR, Immersion, and Presence",Dochart 1
2019-05-08,Wednesday,09:00 - 10:20,Privacy and Young People,Alsh 2
2019-05-08,Wednesday,09:00 - 10:20,Subconscious Game Controls,Gala
2019-05-08,Wednesday,09:00 - 10:20,Doing Design,Forth
2019-05-08,Wednesday,09:00 - 10:20,ARC: Moving the Method Forward,Island A CROWN
2019-05-08,Wednesday,09:00 - 10:20,Big Audiences,Argyll 1 CROWN
2019-05-08,Wednesday,09:00 - 10:20,Listening post,Island B CROWN
2019-05-08,Wednesday,10:20 - 11:00,Break and Interactivity,Hall 4
2019-05-08,Wednesday,10:20 - 11:00,Speaker prep room,Etive
2019-05-08,Wednesday,10:20 - 11:00,Interactivity,Hall 4
2019-05-08,Wednesday,10:20 - 11:00,Doctoral Consortium Poster,Hall 4
2019-05-08,Wednesday,10:20 - 11:00,Student Design Competition,Hall 4
2019-05-08,Wednesday,10:20 - 11:00,Student Research Competition,Hall 4
2019-05-08,Wednesday,10:20 - 11:00,Poster Rotation 2,Hall 4
2019-05-08,Wednesday,11:00 - 12:20,Inclusive Education,Boisdale 1
2019-05-08,Wednesday,11:00 - 12:20,Developers! Developers! Security!,Dochart 2
2019-05-08,Wednesday,11:00 - 12:20,Are You Sure It's Me?,Hall 1
2019-05-08,Wednesday,11:00 - 12:20,Perceptions and Deceptions in Visualization,Hall 2
2019-05-08,Wednesday,11:00 - 12:20,UX Methods,Forth
2019-05-08,Wednesday,11:00 - 12:20,On the Web and in the Browser,Boisdale 2
2019-05-08,Wednesday,11:00 - 12:20,Future of Hearing,Carron 1
2019-05-08,Wednesday,11:00 - 12:20,Speaker prep room,Etive
2019-05-08,Wednesday,11:00 - 12:20,Designing with the Mind in Mind: The Psychological Basis for UI Design Guidelines,Argyll 3 CROWN
2019-05-08,Wednesday,11:00 - 12:20,Avoiding and Mitigating Ethical Traps in Technocentric Fieldwork,Castle 1 CROWN
2019-05-08,Wednesday,11:00 - 12:20,Building Economic Models of Human Computer Interaction,Castle 2 CROWN
2019-05-08,Wednesday,11:00 - 12:20,Tangible Ecosystem Design - Developing Disruptive Services for Digital Ecosystems ,Castle 3 CROWN
2019-05-08,Wednesday,11:00 - 12:20,Computational Interaction with Bayesian Methods,Argyll 2 CROWN
2019-05-08,Wednesday,11:00 - 12:20,Mobile Interactions,Clyde Auditorium
2019-05-08,Wednesday,11:00 - 12:20,Buying and Giving,Alsh 1
2019-05-08,Wednesday,11:00 - 12:20,"Twisting, Holding, Squeezing",Lomod Auditorium
2019-05-08,Wednesday,11:00 - 12:20,Online Learning Contexts,Alsh 2
2019-05-08,Wednesday,11:00 - 12:20,Diverse Play Experiences,Gala
2019-05-08,Wednesday,11:00 - 12:20,Child-computer Interaction SIG: Designing for Refugee Children,Island A CROWN
2019-05-08,Wednesday,11:00 - 12:20,Children and Learning,Argyll 1 CROWN
2019-05-08,Wednesday,11:00 - 12:20,Sustainability and Sharing Economy,Carron 2
2019-05-08,Wednesday,11:00 - 12:20,Empowerment and Minorities,Dochart 1
2019-05-08,Wednesday,12:20 - 14:00,Lunch Break (not provided),N/A
2019-05-08,Wednesday,12:20 - 14:00,Townhall Lunch,Lomod Auditorium
2019-05-08,Wednesday,12:20 - 14:00,Speaker prep room,Etive
2019-05-08,Wednesday,14:00 - 15:20,Storytelling with Visualization,Boisdale 2
2019-05-08,Wednesday,14:00 - 15:20,Algorithmic Systems and Society,Dochart 2
2019-05-08,Wednesday,14:00 - 15:20,Digital Consumption,Carron 1
2019-05-08,Wednesday,14:00 - 15:20,3D Pointing and Hands,Carron 2
2019-05-08,Wednesday,14:00 - 15:20,Shape-changing Interfaces,Hall 1
2019-05-08,Wednesday,14:00 - 15:20,Speaker prep room,Etive
2019-05-08,Wednesday,14:00 - 15:20,Communicating your Research to the Public and the Press,Island B CROWN
2019-05-08,Wednesday,14:00 - 15:20,Introduction to Legal Issues in Human-Computer Interaction,Argyll 3 CROWN
2019-05-08,Wednesday,14:00 - 15:20,Tangible Ecosystem Design - Developing Disruptive Services for Digital Ecosystems ,Castle 3 CROWN
2019-05-08,Wednesday,14:00 - 15:20,Bespoke Data Visualization using R and ggplot2,Castle 1 CROWN
2019-05-08,Wednesday,14:00 - 15:20,Computational Interaction with Bayesian Methods,Argyll 2 CROWN
2019-05-08,Wednesday,14:00 - 15:20,Building Economic Models of Human Computer Interaction,Castle 2 CROWN
2019-05-08,Wednesday,14:00 - 15:20,Audio Experiences,Alsh 1
2019-05-08,Wednesday,14:00 - 15:20,Designing the Things in IoT,Clyde Auditorium
2019-05-08,Wednesday,14:00 - 15:20,Accessibility and Games,Gala
2019-05-08,Wednesday,14:00 - 15:20,Mapping and 3D,Boisdale 1
